SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,-64.411674,144.815323,-267.000000
0,Yellow,1,-63.858170,147.029434,-261.000000
0,Yellow,2,-59.430073,150.904022,-255.000000
0,Yellow,3,-58.876572,150.904022,-246.000000
0,Yellow,4,-66.625671,158.099625,-249.000000
0,Yellow,5,-69.393272,155.332123,-249.000000
0,Yellow,6,-69.393272,154.778534,-249.000000
0,Yellow,7,-73.267868,152.564529,-249.000000
1,Yellow,0,-64.411674,144.815323,-267.000000
1,Yellow,1,-63.858170,147.029434,-261.000000
1,Yellow,2,-59.430073,150.904022,-255.000000
1,Yellow,3,-58.876572,150.904022,-246.000000
1,Yellow,4,-66.625671,158.099625,-249.000000
1,Yellow,5,-69.393272,155.332123,-249.000000
1,Yellow,6,-69.393272,154.778534,-249.000000
1,Yellow,7,-73.267868,152.564529,-249.000000
2,Yellow,0,192.034927,-156.086868,27.000000
2,Yellow,1,189.981125,-157.627274,27.000000
2,Yellow,2,189.981125,-153.519577,33.000000
2,Yellow,3,187.927322,-151.979279,36.000000
2,Yellow,4,188.954224,-154.033066,36.000000
3,Yellow,0,138.626236,-135.696472,-90.000000
3,Yellow,1,141.062531,-134.234665,-87.000000
3,Yellow,2,141.062531,-130.336670,-78.000000
3,Yellow,3,140.575226,-131.798477,-78.000000
3,Yellow,4,137.164536,-130.823975,-75.000000
3,Yellow,5,136.677231,-130.823975,-75.000000
4,Yellow,0,68.729828,-5.983471,-90.000000
4,Yellow,1,69.537926,-6.293071,-87.000000
5,Yellow,0,-135.819778,141.258926,-84.000000
5,Yellow,1,-136.363068,142.888824,-84.000000
5,Yellow,2,-128.756973,141.802231,-81.000000
5,Yellow,3,-126.583771,142.345535,-75.000000
5,Yellow,4,-130.386871,145.062027,-78.000000
5,Yellow,5,-128.756973,146.148529,-78.000000
5,Yellow,6,-130.930176,146.691833,-78.000000
5,Yellow,7,-133.103271,146.148529,-78.000000
5,Yellow,8,-132.559967,144.518723,-78.000000
5,Yellow,9,-130.930176,148.865036,-72.000000
5,Yellow,10,-130.386871,150.494934,-69.000000
5,Yellow,11,-132.016678,151.038223,-75.000000
6,Yellow,0,6.398729,61.827427,-75.000000
6,Yellow,1,7.464729,62.893330,-75.000000
6,Yellow,2,6.931729,63.426331,-72.000000
