SERIES,COLOR,FRAME,X,Y,Z
0,Green,0,195.720047,96.343788,-131.938995
0,Green,1,194.405685,101.083862,-125.358002
0,Green,2,191.352478,99.330177,-125.683434
0,Green,3,188.525925,99.252640,-125.975838
0,Green,4,190.050110,96.589401,-124.395432
0,Green,5,190.546738,92.864258,-120.125351
0,Green,6,193.309036,92.810600,-119.555664
1,Green,0,153.878662,144.547211,0.435242
1,Green,1,154.664978,142.925278,-1.166161
1,Green,2,154.842926,144.895142,-0.465775
2,Green,0,-138.368011,69.175507,-26.985130
2,Green,1,-134.164352,66.617462,-29.605682
2,Green,2,-133.874084,66.710793,-22.047546
3,Green,0,-79.108231,11.778606,-16.362251
3,Green,1,-77.377274,9.763165,-17.599121
3,Green,2,-75.962769,10.541237,-12.867409
3,Green,3,-75.493370,8.429520,-12.060440
4,Green,0,-103.815086,15.316807,-48.602333
4,Green,1,-100.923851,13.879288,-49.458466
4,Green,2,-100.428238,13.270779,-45.628983
5,Green,0,-21.687683,-87.078171,-40.884834
5,Green,1,-21.113192,-87.849411,-40.799927
6,Green,0,27.616770,-102.148697,-9.622589
6,Green,1,28.670355,-102.225777,-9.636200
7,Green,0,160.679153,-156.658096,13.364388
7,Green,1,159.329758,-153.743530,13.872002
7,Green,2,158.967300,-153.686432,10.142136
8,Green,0,151.617844,-195.359558,-13.271431
8,Green,1,149.161865,-192.990250,-12.036873
8,Green,2,149.020340,-193.597443,-15.061150
8,Green,3,152.306091,-194.037842,-15.293045
9,Green,0,170.022659,-193.669708,36.088394
9,Green,1,168.530991,-191.101685,37.820969
10,Green,0,142.256561,-203.557190,60.264893
10,Green,1,141.420593,-202.281525,60.465836
10,Green,2,141.146591,-201.333191,61.198318
11,Green,0,98.470627,-202.880081,50.610565
11,Green,1,99.064384,-200.875000,53.478577
11,Green,2,98.922783,-201.706421,51.148743
11,Green,3,102.569366,-202.708893,48.703903
12,Green,0,183.385468,161.301971,31.143791
12,Green,1,184.714905,159.585449,27.244286
13,Green,0,113.286804,-148.169769,81.102875
13,Green,1,113.040009,-146.180008,83.408249
13,Green,2,113.810577,-147.692200,80.556274
14,Green,0,23.201963,-183.692505,51.280090
14,Green,1,22.993008,-181.953522,57.214294
14,Green,2,23.645550,-183.393005,51.544220
14,Green,3,27.763281,-184.879837,52.292374
15,Red,3,21.703468,-165.206848,18.116364
15,Red,4,21.644913,-162.522324,18.420273
15,Red,5,21.316887,-161.698410,17.792130
15,Red,6,21.818283,-163.234909,20.641678
15,Red,7,21.690353,-163.268616,20.585922
15,Red,8,22.026665,-163.953766,15.654663
15,Red,9,23.227036,-166.460464,12.999260
15,Red,10,23.317272,-163.724060,9.259003
15,Red,11,22.476223,-165.030869,8.490364
15,Red,12,25.028683,-169.132507,6.316422
15,Red,13,24.409149,-174.700104,2.764915
16,Green,0,-30.850098,74.469055,-127.834740
16,Green,1,-29.833351,73.680283,-125.570610
17,Green,0,63.581352,142.309341,-184.819412
17,Green,1,62.203842,140.926025,-179.723099
17,Green,2,62.958260,140.037918,-176.227066
18,Green,0,-29.189495,-124.018997,-147.890457
18,Green,1,-28.375843,-123.164398,-142.784760
18,Green,2,-29.165718,-123.021881,-143.202408
18,Green,3,-28.192169,-123.614136,-145.420258
19,Green,0,1.222231,-193.812790,38.935493
19,Green,1,1.608368,-192.274750,42.385963
19,Green,2,1.892530,-192.640869,40.181358
20,Green,0,1.963842,-184.677948,90.224892
20,Green,1,1.915682,-183.138397,91.825432
20,Green,2,2.491598,-180.856903,92.490959
20,Green,3,7.970224,-182.617401,89.612358
20,Green,4,6.551140,-179.036194,92.235237
21,Green,0,54.551399,-155.928604,95.967438
22,Green,0,24.321365,-125.240952,90.926147
22,Green,1,25.212280,-124.443588,91.106796
22,Green,2,26.698616,-123.600540,91.511475
22,Green,3,30.635872,-124.443283,90.629700
23,Green,0,132.158081,166.604172,-81.790703
23,Green,1,131.000458,166.512375,-82.026131
23,Green,2,130.849243,166.014557,-75.815247
23,Green,3,127.976173,166.259842,-71.531837
23,Green,4,131.914764,165.191925,-65.945122
23,Green,5,132.599365,164.228867,-62.006546
23,Green,6,133.602798,163.574265,-63.520363
24,Green,0,4.836460,-131.953781,98.596771
24,Green,1,6.629318,-132.254807,98.363525
24,Green,2,8.744286,-132.610565,97.181992
24,Green,3,11.473579,-133.480728,98.789993
24,Green,4,12.607674,-129.421951,98.244354
25,Green,0,-33.203632,-111.148804,56.323578
25,Green,1,-31.171211,-112.479095,55.317322
25,Green,2,-31.177933,-111.654327,52.638878
26,Green,0,23.607155,-83.560112,70.047112
26,Green,1,25.567505,-83.407280,70.781197
27,Green,0,11.170822,-21.413490,63.117233
27,Green,1,13.442116,-23.744942,65.314072
27,Green,2,13.958107,-23.121365,63.746246
27,Green,3,16.322777,-23.102047,64.838722
28,Green,0,-35.373199,-62.706001,51.344917
28,Green,1,-32.036682,-63.205334,52.587830
28,Green,2,-32.640442,-63.682674,51.953400
29,Green,0,-34.336212,-22.892464,72.004395
29,Green,1,-32.640671,-23.338963,71.102142
30,Green,0,-98.561867,-75.405197,9.986404
30,Green,1,-95.561699,-77.611694,9.369087
30,Green,2,-94.886017,-76.411430,10.139992
30,Green,3,-93.230782,-78.450127,10.719826
30,Green,4,-92.175575,-75.421310,11.440392
31,Green,0,-57.573853,-157.753143,-81.504532
31,Green,1,-57.812027,-155.724152,-79.625107
31,Green,2,-56.643764,-155.888763,-78.939133
32,Green,0,-58.431229,-166.777283,-14.330566
32,Green,1,-58.048489,-167.157242,-14.081467
32,Green,2,-56.686348,-165.994965,-13.322479
32,Green,3,-52.878414,-167.822327,-14.000381
33,Green,0,-31.470100,-172.115341,32.898071
33,Green,1,-30.724031,-170.320557,33.376831
33,Green,2,-29.524044,-171.712524,33.515305
34,Green,0,95.159920,160.637543,-34.166649
34,Green,1,95.097969,158.653915,-34.753036
35,Green,0,-94.580109,-145.523621,6.343727
36,Green,0,-147.178726,-104.033936,-19.125313
36,Green,1,-146.035873,-103.085548,-21.234055
36,Green,2,-143.016953,-104.160316,-18.223694
36,Green,3,-142.506638,-105.499321,-18.898308
36,Green,4,-141.417145,-101.318069,-16.340286
36,Green,5,-141.365051,-101.353439,-16.443909
37,Green,0,-136.658493,-146.495575,52.454155
37,Green,1,-135.267456,-149.561615,56.900826
37,Green,2,-134.538788,-148.342575,57.879478
38,Green,0,-135.113403,-166.778473,59.395836
38,Green,1,-133.184143,-167.962280,61.052376
38,Green,2,-132.094727,-168.298996,62.765984
39,Green,0,-83.572609,-99.718483,70.436722
39,Green,1,-81.286293,-101.018913,74.051147
39,Green,2,-79.362877,-101.291824,73.775848
39,Green,3,-75.703827,-102.688126,69.976257
40,Green,0,-71.778793,-102.822830,66.875366
40,Green,1,-68.691635,-103.214096,67.989433
41,Green,0,-123.493736,-11.831429,28.346161
41,Green,1,-120.747437,-13.679258,29.695549
41,Green,2,-118.196190,-13.254082,31.255089
41,Green,3,-117.893280,-14.290421,31.730202
42,Green,0,-154.248032,9.658890,32.779137
42,Green,1,-149.504257,7.086418,31.198074
43,Green,0,-200.361572,-30.999332,44.252655
43,Green,1,-196.928925,-33.532276,41.849052
43,Green,2,-193.042099,-30.983852,46.446304
44,Green,0,-82.853729,59.830475,40.540726
44,Green,1,-79.249420,58.078415,39.258347
45,Green,0,91.831703,137.375732,-117.264992
45,Green,1,90.708351,137.537811,-114.222824
45,Green,2,90.264900,135.773712,-111.539078
45,Green,3,88.421562,135.328156,-108.930321
46,Green,0,-81.758484,67.206245,38.508591
46,Green,1,-77.561523,64.471901,37.149796
46,Green,2,-77.106308,66.374802,38.229324
47,Green,0,-166.142395,101.867477,-70.887360
47,Green,1,-160.951920,98.567825,-70.764969
48,Green,0,-192.888443,82.338257,40.205841
48,Green,1,-186.062469,76.435562,39.056107
48,Green,2,-183.356323,80.270432,45.314697
48,Green,3,-183.631607,77.754272,47.189789
49,Green,0,-185.191223,123.413895,35.907532
49,Green,1,-178.721008,118.205582,33.947845
49,Green,2,-175.785034,121.693558,44.896927
50,Green,0,-178.061951,155.868500,-27.249969
50,Green,1,-171.849243,152.319550,-29.088165
50,Green,2,-170.562683,152.775238,-24.676758
50,Green,3,-171.539261,152.126785,-14.391571
51,Green,0,-188.968094,147.179306,53.552933
51,Green,1,-183.703659,142.646576,49.202682
52,Green,0,-185.129608,141.878922,53.861549
52,Green,1,-178.542542,137.760040,50.588005
53,Green,0,-137.334900,96.769043,64.115158
53,Green,1,-130.792633,94.351936,61.044518
54,Green,0,-82.911674,97.066216,58.393311
54,Green,1,-78.392426,92.395164,56.705765
54,Green,2,-76.457123,93.782097,62.337646
54,Green,3,-76.383156,94.548042,62.780602
54,Green,4,-72.163612,97.942596,65.849564
55,Green,0,-98.190529,1.372723,76.954834
55,Green,1,-93.296829,-1.116894,73.791306
