SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,116.252586,-17.113018,-192.000000
0,Yellow,1,119.909882,-17.113018,-192.000000
0,Yellow,2,118.342484,-13.455717,-183.000000
0,Yellow,3,115.730080,-13.978217,-186.000000
1,Yellow,0,31.224684,84.116585,-165.000000
1,Yellow,1,31.767683,83.573685,-165.000000
1,Yellow,2,33.939583,81.944679,-165.000000
1,Yellow,3,36.111485,79.772781,-165.000000
1,Yellow,4,34.482582,81.401680,-162.000000
1,Yellow,5,35.568481,81.401680,-159.000000
1,Yellow,6,36.654484,82.487686,-162.000000
1,Yellow,7,37.197483,80.858780,-162.000000
1,Yellow,8,36.111485,81.401680,-162.000000
2,Green,6,-141.006226,-191.306274,-162.860352
2,Green,7,-142.142212,-195.793945,-174.149338
2,Green,8,-141.406342,-195.342712,-169.153839
3,Green,8,-13.233017,-116.193832,-28.149467
4,Green,8,188.720337,60.421944,36.257591
5,Green,8,190.005203,-84.652695,11.558266
6,Green,0,-40.399902,99.837868,-232.564865
6,Green,1,-39.252228,99.580872,-237.327148
6,Green,2,-37.825500,101.747238,-233.440674
6,Green,3,-35.839447,100.814865,-232.296677
6,Green,4,-35.170776,100.582718,-230.890381
7,Yellow,0,-165.347214,-142.674820,-231.000000
7,Yellow,1,-168.009918,-141.609818,-237.000000
7,Yellow,2,-161.619522,-137.882111,-234.000000
7,Yellow,3,-152.034012,-136.284515,-237.000000
7,Yellow,4,-151.501511,-135.751923,-234.000000
7,Yellow,5,-144.578613,-134.686920,-231.000000
7,Yellow,6,-143.513519,-135.219421,-234.000000
7,Yellow,7,-143.513519,-141.609818,-243.000000
7,Yellow,8,-140.318314,-142.142319,-237.000000
8,Yellow,0,-55.639915,-202.589722,-171.000000
8,Yellow,1,-53.550018,-201.544815,-177.000000
8,Yellow,2,-49.370316,-198.932419,-174.000000
8,Yellow,3,-46.235516,-198.410019,-174.000000
8,Yellow,4,-45.190517,-201.022324,-174.000000
8,Yellow,5,-41.533218,-198.932419,-168.000000
8,Yellow,6,-42.578217,-199.454910,-174.000000
8,Yellow,7,-41.533218,-201.544815,-183.000000
8,Yellow,8,-38.920918,-199.454910,-177.000000
9,Yellow,0,172.554581,-206.953522,-183.000000
9,Yellow,1,174.605789,-203.876816,-183.000000
9,Yellow,2,172.041885,-196.185120,-171.000000
9,Yellow,3,174.605789,-199.774612,-180.000000
9,Yellow,4,175.118484,-200.287323,-180.000000
9,Yellow,5,179.733582,-204.389618,-180.000000
9,Yellow,6,176.656876,-201.825714,-180.000000
9,Yellow,7,180.759186,-204.902420,-189.000000
10,Yellow,0,-170.917923,-131.110016,-186.000000
10,Yellow,1,-171.421310,-132.620422,-195.000000
10,Yellow,2,-163.366119,-128.089325,-195.000000
10,Yellow,3,-155.814423,-129.599716,-195.000000
10,Yellow,4,-154.807510,-130.606613,-195.000000
10,Yellow,5,-152.793716,-126.579018,-186.000000
10,Yellow,6,-151.283417,-128.089325,-186.000000
10,Yellow,7,-151.283417,-132.116913,-198.000000
10,Yellow,8,-149.773010,-131.110016,-189.000000
11,Yellow,0,-52.937817,150.903687,-195.000000
11,Yellow,1,-52.937817,150.360687,-204.000000
11,Yellow,2,-52.394817,149.817688,-204.000000
11,Yellow,3,-50.765919,148.188675,-201.000000
11,Yellow,4,-49.136917,148.188675,-201.000000
11,Yellow,5,-46.965015,150.360687,-195.000000
11,Yellow,6,-46.422016,149.274689,-195.000000
11,Yellow,7,-48.051018,149.274689,-195.000000
11,Yellow,8,-48.593918,148.188675,-189.000000
12,Yellow,0,-210.079712,71.401886,-201.000000
12,Yellow,1,-210.612213,70.336884,-207.000000
12,Yellow,2,-208.482117,71.401886,-210.000000
12,Yellow,3,-201.559219,68.206779,-207.000000
12,Yellow,4,-199.961624,68.739281,-207.000000
12,Yellow,5,-196.766510,71.401886,-207.000000
12,Yellow,6,-194.636322,71.934479,-204.000000
12,Yellow,7,-196.233917,69.271782,-204.000000
12,Yellow,8,-195.168915,67.141685,-201.000000
13,Yellow,0,45.196682,-123.696815,-147.000000
13,Yellow,1,47.286583,-124.219315,-147.000000
13,Yellow,2,46.764183,-120.562019,-141.000000
13,Yellow,3,49.376484,-120.039520,-138.000000
13,Yellow,4,50.421383,-121.084419,-138.000000
13,Yellow,5,51.466381,-120.039520,-132.000000
13,Yellow,6,50.943882,-119.517021,-135.000000
13,Yellow,7,49.898983,-120.562019,-141.000000
14,Yellow,0,110.507881,-89.526215,-144.000000
14,Yellow,1,112.558983,-89.526215,-144.000000
14,Yellow,2,112.046181,-84.398415,-135.000000
14,Yellow,3,114.610085,-86.962318,-135.000000
14,Yellow,4,114.610085,-85.936714,-135.000000
14,Yellow,5,116.661285,-84.911118,-132.000000
14,Yellow,6,113.071785,-83.885620,-132.000000
14,Yellow,7,115.122887,-86.449516,-138.000000
14,Yellow,8,114.610085,-84.911118,-138.000000
15,Yellow,0,-92.883316,3.814283,-138.000000
15,Yellow,1,-91.372917,1.800483,-144.000000
15,Yellow,2,-90.869514,3.814283,-144.000000
15,Yellow,3,-85.331520,3.310883,-144.000000
15,Yellow,4,-85.331520,1.297083,-141.000000
15,Yellow,5,-82.310814,4.821183,-138.000000
15,Yellow,6,-82.310814,2.807482,-138.000000
15,Yellow,7,-82.814316,2.303982,-144.000000
