SERIES,COLOR,FRAME,X,Y,Z
0,Green,0,-31.788025,277.285461,-247.594269
0,Green,1,-35.491638,278.936066,-228.919556
0,Green,2,-37.243927,279.531677,-232.910370
0,Green,3,-45.302826,281.832092,-233.591125
0,Green,4,-50.421448,278.218933,-233.785156
1,Green,0,347.709442,-344.635254,51.654732
1,Green,1,338.561096,-343.208252,51.812820
1,Green,2,344.774414,-343.674713,46.378166
2,Green,0,-400.372437,-270.154907,-131.782166
2,Green,1,-412.630981,-258.679321,-122.015442
2,Green,2,-408.924255,-262.437469,-112.477203
2,Green,3,-408.805603,-264.766235,-101.941330
3,Green,0,-185.226227,152.637054,-70.629059
3,Green,1,-180.636322,159.555115,-61.025574
3,Green,2,-181.531799,159.493378,-57.067291
4,Green,0,-243.041962,275.489532,-50.279068
4,Green,1,-233.392059,277.564819,-42.770233
4,Green,2,-236.750549,278.791779,-40.142502
4,Green,3,-240.317719,276.033783,-35.241516
4,Green,4,-238.527802,272.762878,-31.565018
5,Green,0,-302.950317,-291.742249,-190.117188
5,Green,1,-312.060516,-282.158752,-179.064758
5,Green,2,-313.689453,-286.591736,-171.056458
6,Green,0,-379.036896,-172.069672,-85.594193
6,Green,1,-377.838348,-166.267944,-79.368866
6,Green,2,-383.502380,-167.876801,-69.581009
6,Green,3,-382.069580,-169.461319,-63.848541
6,Green,4,-381.248444,-165.189804,-54.457626
7,Green,0,-280.552673,-162.548309,-86.147736
7,Green,1,-283.345306,-159.094437,-69.971771
7,Green,2,-284.870392,-160.064987,-67.559143
7,Green,3,-284.465179,-161.186447,-67.154358
8,Green,0,-270.733978,-193.985413,-38.709061
8,Green,1,-272.835999,-190.081131,-33.320526
8,Green,2,-272.036530,-192.240265,-28.777924
9,Green,0,-310.719360,-166.087509,-43.602280
9,Green,1,-312.521332,-160.066528,-36.463028
9,Green,2,-312.736542,-163.444244,-28.724030
9,Green,3,-313.660156,-162.910233,-24.935120
10,Green,0,-315.244873,-177.411453,-24.984650
10,Green,1,-315.689209,-171.698059,-20.577927
10,Green,2,-317.373657,-173.348679,-11.223404
10,Green,3,-315.282043,-175.214951,-9.553787
10,Green,4,-313.187225,-172.650482,0.006943
11,Green,0,-390.061279,-238.288162,-1.396118
11,Green,1,-389.344543,-233.262573,3.616608
11,Green,2,-390.816223,-235.447250,8.080093
11,Green,3,-391.100891,-235.108612,9.023331
12,Green,0,367.049438,-373.220154,9.575012
12,Green,1,355.388306,-372.053528,9.643707
13,Green,0,-382.743591,-221.001923,-7.773697
13,Green,1,-382.845520,-217.025391,-0.630585
13,Green,2,-383.345032,-218.607574,9.948013
13,Green,3,-380.876740,-220.204742,13.025116
14,Green,0,-375.540771,-183.287766,-6.255234
14,Green,1,-376.844421,-177.854813,-2.641434
14,Green,2,-376.288818,-179.644806,4.396271
15,Green,0,-61.527203,135.431763,-60.682098
15,Green,1,-60.853935,137.653412,-53.421204
15,Green,2,-60.955269,138.486847,-55.310211
16,Green,0,-161.961884,166.264297,-166.151123
16,Green,1,-158.412079,172.328598,-149.621613
16,Green,2,-161.008453,172.562103,-146.196136
17,Green,0,-411.035950,-162.984344,-25.677094
17,Green,1,-410.526123,-157.565765,-21.844681
17,Green,2,-412.540710,-159.673767,-14.766464
17,Green,3,-411.441345,-161.176147,-7.864243
18,Green,0,-248.149597,358.204437,-5.593506
18,Green,1,-234.626953,356.231659,-3.001038
18,Green,2,-238.917847,357.167603,2.257294
18,Green,3,-241.463562,356.522156,7.378235
19,Green,0,-400.604187,-166.921646,-3.514023
19,Green,1,-399.241058,-160.621460,-0.445831
19,Green,2,-403.245056,-161.700470,6.247131
20,Green,0,-426.794983,-124.416779,-25.396423
20,Green,1,-423.000305,-119.495483,-12.218842
20,Green,2,-427.670135,-121.329224,-5.524277
20,Green,3,-425.977264,-121.942291,-2.912827
21,Green,0,-364.747437,-110.468109,-20.941193
21,Green,1,-363.191345,-105.386246,-18.996292
21,Green,2,-365.622467,-107.110321,-8.374786
21,Green,3,-364.910431,-108.094559,-2.454422
22,Green,0,-395.803345,-88.052002,-71.641983
22,Green,1,-394.501923,-80.863953,-60.142426
23,Green,0,225.741318,-354.864929,8.751129
23,Green,1,214.581573,-354.461884,6.275375
23,Green,2,218.042435,-355.400543,7.442551
23,Green,3,218.690735,-354.398956,-0.022598
23,Green,4,216.932434,-352.490295,1.656693
24,Green,0,-402.195221,-67.557251,-90.000824
24,Green,1,-400.682007,-57.972061,-78.492294
24,Green,2,-402.305908,-62.614532,-73.956741
24,Green,3,-403.873413,-61.858841,-67.535843
25,Green,0,-393.661499,-62.415497,-105.714661
25,Green,1,-392.675385,-54.613037,-92.083252
25,Green,2,-393.734772,-57.873932,-82.407059
25,Green,3,-395.989319,-54.774231,-77.552338
25,Green,4,-394.001465,-55.031677,-74.176712
26,Green,0,-357.308289,-173.477280,-250.110901
26,Green,1,-363.399414,-160.456116,-233.361420
26,Green,2,-366.849487,-163.964005,-221.460297
26,Green,3,-370.760101,-164.102097,-218.452499
26,Green,4,-369.472504,-159.667603,-210.549927
26,Green,5,-374.196289,-167.184601,-212.588165
26,Green,6,-365.538666,-167.332825,-220.677612
27,Green,0,-353.405945,-155.385849,-228.622513
27,Green,1,-358.492249,-145.897583,-209.660400
28,Green,0,-201.952759,231.560654,-0.536865
28,Green,1,-194.136230,231.869263,8.186798
28,Green,2,-193.465790,232.797287,7.696289
28,Green,3,-195.599457,231.785141,8.702423
29,Green,0,-293.992432,-407.354492,4.448486
29,Green,1,-298.801727,-397.699036,8.428558
29,Green,2,-297.441895,-404.359711,13.953842
30,Green,0,-269.926727,-410.871979,15.859802
30,Green,1,-274.062286,-405.570160,15.979782
30,Green,2,-272.977783,-409.117279,20.809906
30,Green,3,-272.520081,-408.943451,22.590149
31,Green,0,-193.340393,377.706604,9.298035
31,Green,1,-178.171722,375.843750,14.980408
31,Green,2,-181.929321,377.746155,16.734650
31,Green,3,-183.372955,376.902740,19.835571
32,Green,0,-193.289246,-396.265594,14.007370
32,Green,1,-199.787994,-389.413605,17.580688
32,Green,2,-196.802155,-395.527252,18.030548
33,Green,0,-223.718231,-197.648026,-1.678085
33,Green,1,-226.887604,-190.620270,3.876144
33,Green,2,-225.056152,-194.670227,6.877625
34,Green,0,-123.092918,47.958099,-26.794037
34,Green,1,-121.262375,51.699768,-20.312042
34,Green,2,-123.445511,52.352112,-20.343872
34,Green,3,-122.273758,53.641785,-18.450378
34,Green,4,-121.067154,50.029785,-14.464874
35,Green,0,-345.255005,-130.301590,-166.100632
35,Green,1,-348.123718,-119.738007,-151.335831
36,Green,0,-354.642365,-87.278259,-127.742523
36,Green,1,-355.092957,-79.233490,-116.223495
36,Green,2,-356.600067,-81.366852,-108.432686
36,Green,3,-357.598846,-81.815002,-103.911758
36,Green,4,-357.609619,-80.602020,-99.086372
36,Green,5,-358.184448,-85.955902,-104.215225
36,Green,6,-351.634949,-87.073975,-108.279633
36,Green,7,-356.739197,-87.981262,-106.641708
36,Green,8,-354.072327,-86.320709,-110.745529
36,Green,9,-353.327179,-87.069672,-118.271149
36,Green,10,-342.705017,-88.463287,-129.089172
36,Green,11,-339.784698,-93.062744,-140.039810
36,Green,12,-347.532043,-94.409271,-127.743576
36,Green,13,-340.939331,-90.882996,-129.938202
36,Green,14,-342.233002,-86.290802,-113.320221
36,Green,15,-347.530090,-84.465179,-112.448807
37,Green,0,-406.943665,-86.730545,-204.789444
37,Green,1,-409.251648,-73.131165,-186.501587
37,Green,2,-415.718750,-78.487610,-171.742615
38,Green,0,-104.322876,204.147003,-30.100372
38,Green,1,-95.261978,206.522003,-22.783783
38,Green,2,-99.156281,206.470367,-24.163177
38,Green,3,-100.947601,205.221008,-20.503418
39,Green,0,-206.609833,403.200256,8.068390
39,Green,1,-191.163269,399.867645,12.808960
39,Green,2,-194.588470,402.854187,17.376831
39,Green,3,-197.911743,400.117615,19.036438
40,Green,0,-230.233917,282.146301,25.898438
40,Green,1,-216.296814,284.000519,28.988678
40,Green,2,-218.609955,285.353943,29.630188
40,Green,3,-219.511108,282.928528,32.569092
40,Green,4,-217.197723,280.729523,38.691254
40,Green,5,-217.854126,280.240417,38.717865
41,Green,0,-222.655487,406.688141,5.742172
41,Green,1,-206.761780,405.240234,10.568909
41,Green,2,-210.975281,406.113129,14.573486
41,Green,3,-212.345642,404.374481,16.716278
41,Green,4,-211.950806,402.032410,19.811951
41,Green,5,-210.503021,401.229279,15.747131
41,Green,6,-209.529572,399.362518,9.436523
41,Green,7,-208.828613,399.502899,20.113739
41,Green,8,-207.712738,399.341064,21.193909
41,Green,9,-208.196136,402.101501,18.201141
42,Green,0,64.667725,176.407074,-243.200012
42,Green,1,59.374054,177.969452,-226.395844
42,Green,2,56.872498,177.378082,-232.146423
42,Green,3,48.416473,180.733932,-236.987885
43,Green,0,-143.669434,404.814026,6.065887
43,Green,1,-130.561798,401.887299,12.476227
43,Green,2,-134.329041,405.036865,14.938477
43,Green,3,-138.563629,401.990417,17.175415
44,Green,0,-82.017715,363.526215,39.088989
44,Green,1,-72.735077,360.192230,39.809357
44,Green,2,-70.997223,361.359314,38.157684
45,Red,5,213.392838,-354.434265,11.648560
45,Red,6,214.398697,-354.376587,10.816299
45,Red,7,210.244492,-351.987793,6.700790
45,Red,8,210.327454,-351.183716,10.383682
