SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,48.435349,154.017395,-262.500000
0,Yellow,1,51.202847,157.338501,-256.500000
0,Yellow,2,50.649345,160.106003,-250.500000
0,Yellow,3,43.453747,158.445496,-250.500000
0,Yellow,4,39.579147,160.106003,-247.500000
0,Yellow,5,39.025646,160.659500,-247.500000
1,Yellow,0,48.435349,154.017395,-262.500000
1,Yellow,1,51.202847,157.338501,-256.500000
1,Yellow,2,50.649345,160.106003,-250.500000
1,Yellow,3,43.453747,158.445496,-250.500000
1,Yellow,4,39.579147,160.106003,-247.500000
1,Yellow,5,39.025646,160.659500,-247.500000
2,Yellow,7,-197.121155,-76.962097,-70.500000
2,Yellow,8,-197.121155,-76.467400,-70.500000
2,Yellow,9,-197.121155,-78.446098,-70.500000
2,Yellow,10,-196.626556,-77.456696,-70.500000
2,Yellow,11,-196.626556,-75.972702,-67.500000
3,Yellow,0,-41.584652,144.245605,10.500000
3,Yellow,1,-43.344952,146.445999,10.500000
3,Yellow,2,-41.144554,144.245605,10.500000
3,Yellow,3,-42.024654,145.125793,10.500000
3,Yellow,4,-41.144554,143.365494,10.500000
4,Yellow,0,63.474648,129.093307,-4.500000
4,Yellow,1,63.907848,129.526596,-4.500000
4,Yellow,2,63.907848,129.526596,-4.500000
5,Yellow,0,76.664345,117.485703,10.500000
5,Yellow,1,76.664345,115.825203,10.500000
6,Yellow,0,48.579247,182.064896,10.500000
6,Yellow,1,47.493748,181.522095,10.500000
6,Yellow,2,50.207447,180.979401,10.500000
6,Yellow,3,47.493748,179.893906,10.500000
6,Yellow,4,46.950947,178.808395,10.500000
6,Yellow,5,48.036446,179.893906,1.500000
6,Yellow,6,48.579247,178.808395,1.500000
7,Yellow,11,-170.201447,99.773399,-238.500000
8,Yellow,0,-30.609854,198.394608,-1.500000
8,Yellow,1,-31.674654,199.459396,1.500000
8,Yellow,2,-30.609854,199.459396,1.500000
8,Yellow,3,-32.207054,198.927002,1.500000
8,Yellow,4,-31.142254,196.797394,-1.500000
8,Yellow,5,-30.609854,198.394608,-4.500000
8,Yellow,6,-29.012653,196.264999,-4.500000
9,Yellow,0,16.459846,-159.428894,10.500000
9,Yellow,1,14.370147,-158.384003,10.500000
9,Yellow,2,15.937447,-156.294296,16.500000
9,Yellow,3,16.459846,-154.727005,19.500000
9,Yellow,4,15.937447,-153.682098,25.500000
9,Yellow,5,15.937447,-153.159698,25.500000
9,Yellow,6,13.847747,-152.114792,25.500000
9,Yellow,7,11.235547,-151.592392,25.500000
10,Yellow,0,15.131846,-153.324005,10.500000
10,Yellow,1,13.080546,-150.759796,10.500000
10,Yellow,2,14.619047,-145.631393,19.500000
10,Yellow,3,15.644747,-147.169998,22.500000
10,Yellow,4,13.593347,-146.144302,25.500000
10,Yellow,5,15.644747,-145.118607,25.500000
10,Yellow,6,14.619047,-145.118607,25.500000
10,Yellow,7,11.029147,-143.067200,25.500000
10,Yellow,8,14.619047,-144.605804,28.500000
11,Yellow,0,-187.583649,-120.245598,10.500000
11,Yellow,1,-189.094452,-119.238396,13.500000
11,Yellow,2,-186.576447,-116.216896,19.500000
11,Yellow,3,-186.576447,-114.706100,25.500000
11,Yellow,4,-186.576447,-117.224098,25.500000
11,Yellow,5,-182.547760,-119.741997,25.500000
