SERIES,COLOR,FRAME,X,Y,Z
0,Green,0,-214.961426,175.882797,-285.533020
0,Green,1,-212.881897,179.992004,-258.296265
0,Green,2,-220.294128,188.029465,-253.078583
1,Green,0,-196.604492,177.355499,-112.733475
1,Green,1,-196.084290,178.601563,-99.595169
1,Green,2,-197.918228,181.557922,-90.308929
1,Green,3,-202.746109,177.067810,-84.949890
1,Green,4,-202.658615,176.942139,-87.462692
1,Green,5,-201.753693,178.030151,-89.379868
1,Green,6,-201.218414,177.202377,-91.601471
2,Green,0,242.360092,-199.586044,38.083374
2,Green,1,233.521896,-194.570938,29.755890
2,Green,2,234.298843,-193.337311,25.680206
2,Green,3,233.912903,-193.551010,25.689484
2,Green,4,233.151077,-193.325150,25.468018
3,Green,0,-346.051361,5.178894,-95.713730
3,Green,1,-342.869720,7.537903,-85.270508
3,Green,2,-343.822083,11.438416,-77.741379
3,Green,3,-347.963562,8.909119,-66.134216
3,Green,4,-348.946136,8.541290,-62.665100
3,Green,5,-349.392029,8.082809,-61.371918
4,Green,0,31.426811,-121.162231,-30.246872
4,Green,1,26.197594,-118.313629,-23.753883
4,Green,2,28.577339,-115.316757,-19.770279
4,Green,3,23.987053,-115.481018,-20.432068
5,Green,0,-281.521667,126.956070,-58.521210
5,Green,1,-278.862061,126.074799,-48.830025
5,Green,2,-279.647095,128.980499,-39.633301
5,Green,3,-284.189240,125.616043,-36.138573
5,Green,4,-284.294678,126.678940,-36.326797
6,Green,0,-274.238586,198.568405,-34.733047
6,Green,1,-268.996307,194.748260,-30.366287
6,Green,2,-270.929626,197.040176,-29.939621
6,Green,3,-273.180237,194.065277,-25.981171
7,Green,0,-298.844177,365.439148,-155.098419
7,Green,1,-292.673096,365.238525,-135.785400
7,Green,2,-298.201630,368.424042,-133.148239
7,Green,3,-303.901245,365.965668,-119.876190
7,Green,4,-303.978729,365.804626,-121.940857
7,Green,5,-305.585510,359.779968,-115.864563
7,Green,6,-305.121429,358.346893,-114.287003
8,Green,0,-60.572357,381.064911,-10.171570
8,Green,1,-61.945648,381.366089,-5.397797
8,Green,2,-61.932571,380.994781,-5.621506
8,Green,3,-69.599449,379.276825,4.255447
8,Green,4,-67.220749,378.528870,3.627472
9,Green,0,-256.234589,360.512177,-125.984512
9,Green,1,-251.124878,362.836060,-112.130356
9,Green,2,-258.107849,365.216370,-103.626648
