SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,-187.498703,26.502428,-262.500000
0,Yellow,1,-176.981995,15.985728,-271.500000
0,Yellow,2,-176.981995,25.395428,-262.500000
1,Yellow,0,-191.343292,45.632328,-250.500000
1,Yellow,1,-182.658096,39.118328,-253.500000
1,Yellow,2,-180.486801,45.632328,-247.500000
1,Yellow,3,-179.401093,44.546627,-247.500000
1,Yellow,4,-182.658096,47.803627,-241.500000
1,Yellow,5,-181.572403,47.260727,-241.500000
1,Yellow,6,-181.572403,46.175129,-241.500000
1,Yellow,7,-185.372192,44.546627,-241.500000
2,Yellow,7,133.266998,192.738327,-37.500000
2,Yellow,8,135.438293,195.995224,-25.500000
2,Yellow,9,135.981094,198.166534,-22.500000
2,Yellow,10,132.724106,198.166534,-16.500000
2,Yellow,11,131.638504,197.080933,-19.500000
3,Yellow,0,-177.218506,-120.264175,10.500000
3,Yellow,1,-175.710297,-119.258575,7.500000
3,Yellow,2,-174.201996,-120.264175,10.500000
3,Yellow,3,-172.693695,-119.258575,10.500000
3,Yellow,4,-171.185501,-120.264175,13.500000
3,Yellow,5,-170.179993,-121.269669,10.500000
3,Yellow,6,-170.179993,-120.766869,10.500000
4,Yellow,0,-139.451996,-85.538071,1.500000
4,Yellow,1,-137.971100,-84.550774,4.500000
4,Yellow,2,-136.490204,-85.538071,4.500000
4,Yellow,3,-135.996506,-85.538071,7.500000
4,Yellow,4,-134.515594,-86.031670,7.500000
4,Yellow,5,-133.528305,-87.018974,4.500000
4,Yellow,6,-133.528305,-86.031670,4.500000
4,Yellow,7,-131.553696,-83.563469,7.500000
4,Yellow,8,-134.515594,-83.563469,7.500000
4,Yellow,9,-135.502899,-85.044472,4.500000
4,Yellow,10,-135.502899,-85.538071,4.500000
4,Yellow,11,-135.009201,-88.499969,4.500000
5,Yellow,0,27.397701,-122.837769,10.500000
5,Yellow,1,26.912802,-122.837769,13.500000
5,Yellow,2,27.397701,-120.898270,13.500000
5,Yellow,3,26.428001,-120.413475,13.500000
5,Yellow,4,28.367401,-123.322571,7.500000
5,Yellow,5,28.367401,-123.807472,7.500000
5,Yellow,6,28.367401,-122.837769,7.500000
6,Yellow,0,137.439301,-137.872177,13.500000
6,Yellow,1,139.821198,-139.777664,10.500000
6,Yellow,2,137.915695,-134.061066,10.500000
6,Yellow,3,136.962906,-131.679169,10.500000
6,Yellow,4,136.010208,-135.490265,4.500000
7,Yellow,0,-151.926300,198.288422,22.500000
7,Yellow,1,-148.648895,195.479233,31.500000
7,Yellow,2,-148.648895,188.456329,31.500000
7,Yellow,3,-147.244293,189.860931,34.500000
7,Yellow,4,-149.585297,194.542831,37.500000
8,Yellow,0,-101.029503,70.169525,10.500000
8,Yellow,1,-99.188301,69.249031,16.500000
8,Yellow,2,-99.648598,68.328430,16.500000
8,Yellow,3,-99.188301,65.566727,16.500000
8,Yellow,4,-99.188301,67.407829,16.500000
8,Yellow,5,-98.727997,68.328430,19.500000
9,Yellow,0,-95.805801,14.691228,-217.500000
9,Yellow,1,-90.377602,9.262928,-220.500000
9,Yellow,2,-89.291901,17.405329,-211.500000
9,Yellow,3,-89.291901,16.862528,-208.500000
9,Yellow,4,-93.091698,17.948128,-208.500000
9,Yellow,5,-92.005997,15.776828,-211.500000
9,Yellow,6,-92.548897,16.319628,-208.500000
9,Yellow,7,-93.634499,14.691228,-208.500000
9,Yellow,8,-94.177299,13.605528,-211.500000
9,Yellow,9,-95.805801,11.977028,-205.500000
9,Yellow,10,-95.263000,12.519928,-205.500000
9,Yellow,11,-94.720200,15.234028,-202.500000
10,Yellow,0,107.522499,81.299927,7.500000
10,Yellow,1,108.629501,76.871925,10.500000
10,Yellow,2,106.969002,78.532425,10.500000
10,Yellow,3,105.308502,77.978928,7.500000
10,Yellow,4,104.754898,78.532425,7.500000
10,Yellow,5,103.094398,77.978928,7.500000
10,Yellow,6,103.647903,78.532425,10.500000
10,Yellow,7,109.182999,81.853531,10.500000
11,Yellow,0,29.587101,138.455627,13.500000
11,Yellow,1,30.672800,137.912827,16.500000
11,Yellow,2,29.587101,134.655823,16.500000
11,Yellow,3,30.129900,134.113022,19.500000
12,Yellow,0,120.019104,160.196533,4.500000
12,Yellow,1,118.422401,159.664322,10.500000
12,Yellow,2,117.890198,157.535431,10.500000
12,Yellow,3,118.954597,157.003235,13.500000
12,Yellow,4,116.293503,159.132126,13.500000
13,Yellow,7,130.247894,-69.467072,25.500000
13,Yellow,8,133.902100,-69.467072,25.500000
13,Yellow,9,132.335999,-68.423073,25.500000
13,Yellow,10,131.292007,-66.856972,25.500000
13,Yellow,11,127.115799,-67.900970,28.500000
14,Yellow,0,24.799200,169.619736,13.500000
14,Yellow,1,25.843201,168.053635,22.500000
14,Yellow,2,25.843201,163.877533,25.500000
14,Yellow,3,25.843201,164.921524,28.500000
14,Yellow,4,21.667002,166.487625,25.500000
14,Yellow,5,22.711102,163.877533,28.500000
14,Yellow,6,23.233101,164.921524,31.500000
15,Yellow,0,-142.134903,-194.199478,46.500000
15,Yellow,1,-141.110504,-192.150574,40.500000
15,Yellow,2,-139.573898,-192.662766,43.500000
15,Yellow,3,-139.061600,-192.662766,40.500000
16,Yellow,0,-94.766502,-187.130676,28.500000
16,Yellow,1,-93.761002,-184.616974,31.500000
16,Yellow,2,-92.755501,-184.616974,31.500000
16,Yellow,3,-93.761002,-184.114166,31.500000
16,Yellow,4,-89.236198,-187.130676,25.500000
16,Yellow,5,-89.738998,-185.119675,25.500000
16,Yellow,6,-89.236198,-185.119675,25.500000
17,Yellow,0,10.104601,-142.871872,25.500000
17,Yellow,1,12.872201,-142.318375,25.500000
17,Yellow,2,11.765100,-140.657867,25.500000
17,Yellow,3,11.765100,-140.104370,25.500000
17,Yellow,4,13.425701,-140.657867,28.500000
17,Yellow,5,12.872201,-141.211365,28.500000
17,Yellow,6,12.872201,-140.657867,28.500000
18,Yellow,0,-51.836899,-159.556168,7.500000
18,Yellow,1,-49.665600,-159.013275,10.500000
18,Yellow,2,-48.579899,-157.384872,10.500000
18,Yellow,3,-50.208401,-154.670670,13.500000
19,Yellow,0,-20.487499,-81.432175,28.500000
19,Yellow,1,-19.422998,-81.964371,25.500000
20,Yellow,0,-52.982300,-91.392075,28.500000
20,Yellow,1,-52.982300,-89.303970,28.500000
20,Yellow,2,-51.938297,-88.781975,28.500000
20,Yellow,3,-51.416298,-88.781975,28.500000
20,Yellow,4,-51.938297,-87.737869,31.500000
20,Yellow,5,-52.460300,-87.737869,31.500000
21,Yellow,0,11.978001,163.389832,-220.500000
21,Yellow,1,15.703601,155.406525,-220.500000
21,Yellow,2,10.381401,162.325424,-211.500000
21,Yellow,3,13.574701,162.857635,-211.500000
21,Yellow,4,8.252501,162.325424,-211.500000
22,Yellow,0,181.581100,-204.443573,25.500000
22,Yellow,1,184.654297,-203.419174,25.500000
22,Yellow,2,181.581100,-195.736069,28.500000
22,Yellow,3,181.068893,-195.223877,28.500000
22,Yellow,4,180.556702,-199.833771,25.500000
22,Yellow,5,180.556702,-199.833771,28.500000
23,Yellow,0,-80.186600,4.922228,28.500000
23,Yellow,1,-76.667297,4.419428,28.500000
23,Yellow,2,-73.148003,2.408428,28.500000
23,Yellow,3,-74.153496,2.911128,28.500000
24,Yellow,0,-134.964005,-201.882568,-214.500000
24,Yellow,1,-129.841904,-205.468079,-220.500000
24,Yellow,2,-130.866302,-195.736069,-208.500000
24,Yellow,3,-129.329697,-197.272675,-205.500000
