SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,-38.811752,-146.331329,-273.000000
0,Yellow,1,-37.566353,-152.558228,-264.000000
0,Yellow,2,-34.245354,-142.595139,-267.000000
0,Yellow,3,-42.132854,-141.349731,-249.000000
0,Yellow,4,-44.208553,-145.916138,-249.000000
0,Yellow,5,-50.020348,-138.443741,-240.000000
0,Yellow,6,-45.453953,-139.274033,-243.000000
0,Yellow,7,-47.944752,-141.349731,-246.000000
1,Yellow,0,53.703945,-179.830032,-264.000000
1,Yellow,1,54.112251,-188.405838,-255.000000
1,Yellow,2,56.970848,-176.154739,-255.000000
1,Yellow,3,49.620247,-174.112930,-240.000000
1,Yellow,4,45.128147,-176.971542,-240.000000
1,Yellow,5,39.410946,-165.945435,-228.000000
1,Yellow,6,44.719746,-168.804031,-234.000000
1,Yellow,7,40.636047,-170.029236,-237.000000
2,Yellow,0,-54.845955,205.241272,-261.000000
2,Yellow,1,-62.078850,198.410263,-252.000000
2,Yellow,2,-59.266052,206.446762,-252.000000
2,Yellow,3,-68.106255,209.259567,-240.000000
2,Yellow,4,-72.526253,202.428558,-237.000000
2,Yellow,5,-75.740852,211.268661,-231.000000
2,Yellow,6,-73.731750,206.446762,-231.000000
2,Yellow,7,-77.749954,204.035858,-228.000000
3,Yellow,0,-175.394958,-35.631237,-261.000000
3,Yellow,1,-177.372360,-40.772533,-255.000000
3,Yellow,2,-174.603958,-33.653736,-252.000000
3,Yellow,3,-180.140747,-31.676334,-240.000000
3,Yellow,4,-181.722656,-35.631237,-234.000000
3,Yellow,5,-186.073059,-30.094435,-225.000000
3,Yellow,6,-181.327255,-30.489935,-225.000000
3,Yellow,7,-184.886551,-33.258236,-231.000000
4,Yellow,0,-81.953751,-133.530228,-252.000000
4,Yellow,1,-83.121750,-140.149033,-246.000000
4,Yellow,2,-79.228355,-133.530228,-246.000000
4,Yellow,3,-85.068451,-131.583542,-228.000000
4,Yellow,4,-86.625854,-133.530228,-225.000000
4,Yellow,5,-89.351250,-128.858139,-222.000000
4,Yellow,6,-86.236549,-129.247437,-219.000000
4,Yellow,7,-87.793854,-131.194138,-219.000000
5,Yellow,0,-3.255653,46.072063,-252.000000
5,Yellow,1,-3.639053,40.704666,-243.000000
5,Yellow,2,-2.872253,46.838863,-240.000000
5,Yellow,3,-9.006453,49.139263,-228.000000
5,Yellow,4,-12.457053,44.921967,-228.000000
5,Yellow,5,-17.824453,51.439564,-216.000000
5,Yellow,6,-15.140753,49.139263,-216.000000
5,Yellow,7,-16.674253,48.755863,-219.000000
6,Yellow,0,51.547546,184.390472,-252.000000
6,Yellow,1,45.505749,179.859070,-240.000000
6,Yellow,2,45.128147,188.166565,-240.000000
6,Yellow,3,34.932549,186.656158,-228.000000
6,Yellow,4,30.778749,181.747162,-225.000000
6,Yellow,5,23.981747,193.075562,-222.000000
6,Yellow,6,25.492147,188.921844,-219.000000
6,Yellow,7,20.960747,188.544159,-216.000000
7,Yellow,0,118.860756,140.038269,-237.000000
7,Yellow,1,113.652542,134.830170,-240.000000
7,Yellow,2,113.280540,141.898361,-234.000000
7,Yellow,3,103.980347,141.154358,-222.000000
7,Yellow,4,100.260147,139.294266,-219.000000
7,Yellow,5,93.936050,145.618469,-213.000000
7,Yellow,6,95.424049,143.386368,-213.000000
7,Yellow,7,89.471848,142.270370,-216.000000
8,Yellow,0,-30.238953,206.221558,-231.000000
8,Yellow,1,-37.570454,201.456161,-222.000000
8,Yellow,2,-37.203854,208.787567,-222.000000
8,Yellow,3,-44.901852,210.253860,-210.000000
8,Yellow,4,-47.101254,206.221558,-207.000000
8,Yellow,5,-52.599854,214.286072,-198.000000
8,Yellow,6,-48.934155,210.253860,-198.000000
8,Yellow,7,-51.866753,206.954666,-198.000000
9,Yellow,0,-195.995956,-79.952835,-222.000000
9,Yellow,1,-197.802460,-84.649635,-219.000000
9,Yellow,2,-195.634659,-80.675438,-216.000000
9,Yellow,3,-200.692749,-77.785133,-204.000000
9,Yellow,4,-202.499146,-81.036736,-204.000000
9,Yellow,5,-201.415359,-75.256134,-195.000000
9,Yellow,6,-199.608856,-74.172234,-195.000000
9,Yellow,7,-201.054047,-77.785133,-195.000000
10,Yellow,0,-178.711655,147.998062,-219.000000
10,Yellow,1,-184.523453,143.846664,-213.000000
10,Yellow,2,-183.693253,148.413162,-213.000000
10,Yellow,3,-189.505051,148.828262,-201.000000
10,Yellow,4,-191.165649,145.922363,-204.000000
10,Yellow,5,-191.580750,151.319061,-192.000000
10,Yellow,6,-188.674850,148.413162,-192.000000
10,Yellow,7,-191.580750,144.261871,-192.000000
11,Yellow,1,169.681152,-133.275833,-237.000000
