SERIES,COLOR,FRAME,X,Y,Z
1,Green,0,-21.636412,22.030823,-153.717392
1,Green,1,-23.327085,16.777555,-151.535828
1,Green,2,-4.976715,32.126278,-136.567596
1,Green,3,-10.737243,38.427673,-132.880325
1,Green,4,-11.093780,34.611355,-132.278015
1,Green,5,-11.494658,38.110779,-132.060394
1,Green,6,-14.292449,38.924683,-129.726868
1,Green,7,-11.255492,38.018890,-134.496094
1,Green,8,-9.187103,39.213833,-129.299408
1,Green,9,-5.401428,38.311218,-136.317200
1,Green,10,-3.137726,38.404568,-133.760040
1,Green,11,-10.656464,37.476559,-134.284927
1,Green,12,-2.931244,38.482544,-132.013733
1,Green,13,-12.387909,40.232635,-132.236969
1,Green,14,-9.830108,40.807007,-131.876190
2,Green,0,271.835571,217.978394,4.335602
2,Green,1,265.011078,210.689651,8.062790
2,Green,2,290.011230,225.602386,12.885468
2,Green,3,291.821747,232.486298,3.443970
2,Green,4,290.902496,233.180923,3.445633
2,Green,5,291.691833,233.903397,7.148499
2,Green,6,286.039764,235.037048,10.423813
2,Green,7,282.884979,235.069901,10.721481
2,Green,8,280.931000,236.580658,23.140625
2,Green,9,278.282043,236.691467,24.836489
2,Green,10,277.694519,237.562668,33.486633
2,Green,11,284.078583,231.068039,22.214722
2,Green,12,279.028015,235.514694,31.887817
2,Green,13,276.061737,232.996674,16.813934
2,Green,14,279.579865,234.871002,19.569962
3,Green,0,-229.314209,131.840164,-108.726959
3,Green,1,-224.142944,134.289520,-96.235641
3,Green,2,-199.807770,140.256516,-73.309456
3,Green,3,-206.895615,153.919571,-82.263512
3,Green,4,-204.807541,154.212540,-81.450279
3,Green,5,-205.578461,153.303406,-80.406067
3,Green,6,-203.577927,153.114044,-79.967644
3,Green,7,-203.438766,151.453125,-82.831558
3,Green,8,-203.245026,152.371750,-90.346252
3,Green,9,-196.374161,153.202728,-95.427689
3,Green,10,-197.268738,152.256241,-92.861237
3,Green,11,-196.411469,154.936707,-93.847595
3,Green,12,-195.514694,154.680695,-93.394928
3,Green,13,-191.861847,156.781113,-88.509560
3,Green,14,-194.932648,157.122101,-85.891418
4,Green,0,14.894988,-30.083000,22.301361
4,Green,1,13.277129,-27.336838,23.504425
4,Green,2,46.818371,-10.676641,44.133362
4,Green,3,40.818634,-7.058448,31.169067
4,Green,4,40.888134,-5.217892,30.609558
4,Green,5,40.270657,-6.316339,32.105225
4,Green,6,38.197037,-6.172790,32.065979
4,Green,7,34.539837,-7.021282,30.397585
4,Green,8,37.858490,-5.934749,29.412294
4,Green,9,34.933716,-5.849466,28.375734
4,Green,10,35.894333,-5.455165,29.188173
4,Green,11,36.056076,-6.495935,29.704041
4,Green,12,35.872681,-6.596838,29.575470
4,Green,13,37.673386,-8.031641,31.301270
4,Green,14,38.786575,-8.789469,30.359711
5,Green,0,-212.103241,109.898972,-201.725433
5,Green,1,-209.220963,106.292389,-174.500305
5,Green,2,-195.245789,114.521164,-154.628860
5,Green,3,-200.396637,128.174850,-160.269699
5,Green,4,-197.645920,128.407684,-159.344940
5,Green,5,-198.410538,132.100769,-157.163071
5,Green,6,-196.040085,128.078613,-155.279114
5,Green,7,-195.266785,128.924866,-156.449615
5,Green,8,-193.760300,130.365723,-160.345795
5,Green,9,-184.316971,128.523911,-166.489456
5,Green,10,-180.608444,128.719543,-168.358093
5,Green,11,-185.013626,131.515274,-163.036255
5,Green,12,-179.766647,130.842957,-168.618103
6,Red,5,-153.660004,3.555725,-38.814690
6,Red,6,-154.665848,1.811508,-38.382195
6,Red,7,-154.245880,-1.068085,-42.883804
6,Red,8,-151.607880,-3.116668,-41.600609
6,Red,9,-149.682861,-5.554489,-46.926659
6,Red,10,-148.699463,-3.821914,-46.330185
6,Red,11,-147.439713,1.678223,-44.842453
6,Red,12,-146.470764,-1.429764,-47.110924
6,Red,13,-144.549393,1.696472,-37.770500
6,Red,14,-145.462967,0.677536,-40.168915
7,Green,0,-99.777351,-193.512299,62.757935
7,Green,1,-97.373985,-186.269028,63.393402
7,Green,2,-55.239040,-170.421967,91.603775
7,Green,3,-69.130043,-168.972641,79.417648
7,Green,4,-68.947372,-168.299622,81.610809
7,Green,5,-71.462776,-172.258545,80.560455
7,Green,6,-70.539749,-168.833588,79.263336
7,Green,7,-74.195732,-171.172150,71.833588
7,Green,8,-74.654175,-173.145966,69.861008
7,Green,9,-74.093719,-172.333405,68.672226
7,Green,10,-75.525543,-172.470123,68.088379
7,Green,11,-76.221848,-171.836182,74.182663
7,Green,12,-74.526291,-171.334076,72.045502
7,Green,13,-65.182281,-176.976761,73.343094
7,Green,14,-65.267052,-177.101303,72.461700
8,Green,0,-137.082489,-204.379807,53.471527
8,Green,1,-133.234268,-199.667526,56.174072
8,Green,2,-91.444893,-186.166077,79.837967
8,Green,3,-104.629181,-180.046783,78.709229
8,Green,4,-104.473869,-180.207382,77.973373
8,Green,5,-106.356575,-182.027786,76.390625
8,Green,6,-106.754730,-182.789215,75.614334
8,Green,7,-109.599167,-181.222717,65.442719
8,Green,8,-110.172272,-184.937637,65.399002
8,Green,9,-109.381737,-183.711182,66.398102
8,Green,10,-111.601105,-183.731018,66.166519
8,Green,11,-111.251602,-182.797058,70.598053
8,Green,12,-113.246254,-183.586090,72.522446
8,Green,13,-98.890907,-187.781021,66.586014
8,Green,14,-100.728905,-187.865677,66.068024
9,Green,0,-200.750366,-184.721222,34.165176
9,Green,1,-199.250793,-180.124603,35.650391
9,Green,2,-163.873856,-161.225281,71.194656
9,Green,3,-171.674637,-155.891235,65.847214
