SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,6.241874,64.450752,-267.000000
0,Yellow,1,3.529374,62.823254,-267.000000
0,Yellow,2,1.359374,62.280754,-258.000000
0,Yellow,3,-4.065726,60.110661,-258.000000
0,Yellow,4,-0.268226,56.313156,-264.000000
0,Yellow,5,-0.268226,58.483154,-264.000000
0,Yellow,6,-1.353226,61.195759,-264.000000
0,Yellow,7,0.816874,56.313156,-261.000000
0,Yellow,8,5.156874,58.483154,-264.000000
0,Yellow,9,5.156874,59.568157,-261.000000
1,Yellow,0,6.241874,64.450752,-267.000000
1,Yellow,1,3.529374,62.823254,-267.000000
1,Yellow,2,1.359374,62.280754,-258.000000
1,Yellow,3,-4.065726,60.110661,-258.000000
1,Yellow,4,-0.268226,56.313156,-264.000000
1,Yellow,5,-0.268226,58.483154,-264.000000
1,Yellow,6,-1.353226,61.195759,-264.000000
1,Yellow,7,0.816874,56.313156,-261.000000
1,Yellow,8,5.156874,58.483154,-264.000000
1,Yellow,9,5.156874,59.568157,-261.000000
2,Yellow,0,-53.988529,82.368759,-261.000000
2,Yellow,1,-55.584332,80.241066,-264.000000
2,Yellow,2,-57.180130,79.177155,-255.000000
2,Yellow,3,-61.967529,75.985558,-255.000000
2,Yellow,4,-58.775928,76.517464,-255.000000
2,Yellow,5,-59.839825,77.049454,-255.000000
2,Yellow,6,-60.903728,77.049454,-258.000000
2,Yellow,7,-58.244026,74.921654,-252.000000
2,Yellow,8,-55.584332,73.325859,-261.000000
2,Yellow,9,-53.988529,72.793953,-258.000000
3,Yellow,0,136.967194,-25.100847,-252.000000
3,Yellow,1,136.967194,-26.144344,-252.000000
3,Yellow,2,132.793091,-28.231447,-240.000000
3,Yellow,3,129.662476,-26.666145,-240.000000
3,Yellow,4,128.097168,-28.753246,-240.000000
3,Yellow,5,128.097168,-30.318544,-240.000000
3,Yellow,6,126.531883,-28.231447,-240.000000
3,Yellow,7,130.705978,-32.927345,-246.000000
3,Yellow,8,130.705978,-28.231447,-240.000000
3,Yellow,9,130.705978,-28.753246,-240.000000
4,Yellow,0,153.466766,63.750954,-33.000000
4,Yellow,1,153.466766,69.070358,-33.000000
4,Yellow,2,153.998672,68.006462,-30.000000
4,Yellow,3,150.275177,69.070358,-33.000000
4,Yellow,4,150.807068,69.070358,-30.000000
4,Yellow,5,149.743286,69.070358,-30.000000
4,Yellow,6,151.338974,68.538452,-30.000000
4,Yellow,7,150.807068,66.410652,-30.000000
4,Yellow,8,148.679367,69.602257,-27.000000
4,Yellow,9,148.147369,71.198059,-30.000000
5,Yellow,0,133.314880,44.294353,-33.000000
5,Yellow,1,131.749496,46.381359,-36.000000
5,Yellow,2,130.705978,44.294353,-33.000000
5,Yellow,3,128.097168,46.381359,-36.000000
5,Yellow,4,128.618881,43.250755,-33.000000
5,Yellow,5,129.140686,45.859657,-33.000000
5,Yellow,6,127.575378,44.294353,-36.000000
5,Yellow,7,128.097168,44.816059,-36.000000
5,Yellow,8,126.010071,46.903160,-33.000000
5,Yellow,9,126.010071,47.424957,-33.000000
6,Yellow,0,13.058575,74.205765,-33.000000
6,Yellow,1,13.058575,75.741760,-33.000000
6,Yellow,2,13.570574,76.253654,-30.000000
6,Yellow,3,11.010674,74.717758,-30.000000
6,Yellow,4,13.570574,74.717758,-30.000000
6,Yellow,5,14.082574,75.229752,-30.000000
