SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,-34.176289,-102.880791,-259.500000
0,Yellow,1,-36.943790,-101.773689,-256.500000
0,Yellow,2,-41.925388,-103.434288,-262.500000
0,Yellow,3,-42.478889,-100.666687,-259.500000
0,Yellow,4,-39.711391,-104.541290,-259.500000
0,Yellow,5,-38.050789,-107.308792,-262.500000
0,Yellow,6,-40.818390,-106.201790,-259.500000
0,Yellow,7,-35.283291,-103.987793,-262.500000
0,Yellow,8,-36.390289,-107.308792,-262.500000
0,Yellow,9,-39.157890,-103.987793,-259.500000
1,Yellow,0,-51.286491,-17.205690,-253.500000
1,Yellow,1,-51.286491,-16.662991,-250.500000
1,Yellow,2,-51.829189,-18.291189,-256.500000
1,Yellow,3,-54.000191,-18.291189,-253.500000
1,Yellow,4,-51.286491,-22.090389,-256.500000
1,Yellow,5,-49.658192,-22.633190,-259.500000
1,Yellow,6,-51.286491,-24.261391,-256.500000
1,Yellow,7,-48.029991,-22.090389,-259.500000
1,Yellow,8,-51.286491,-26.432390,-262.500000
1,Yellow,9,-51.829189,-22.633190,-256.500000
2,Yellow,0,3.993510,-150.992294,-232.500000
2,Yellow,1,3.461410,-150.992294,-232.500000
2,Yellow,2,0.801110,-150.992294,-238.500000
2,Yellow,3,-0.262990,-149.928085,-235.500000
2,Yellow,4,1.333210,-152.588486,-238.500000
2,Yellow,5,1.865210,-153.120483,-238.500000
2,Yellow,6,2.929410,-156.844986,-238.500000
2,Yellow,7,5.057610,-149.396088,-238.500000
2,Yellow,8,3.461410,-153.652588,-238.500000
2,Yellow,9,1.865210,-152.056396,-235.500000
3,Yellow,0,127.864510,103.475609,-7.500000
3,Yellow,1,130.376511,101.466011,-7.500000
3,Yellow,2,127.362106,102.973213,-10.500000
3,Yellow,3,127.864510,100.963608,-13.500000
3,Yellow,4,126.357307,100.963608,-13.500000
3,Yellow,5,126.859711,101.466011,-13.500000
3,Yellow,6,127.864510,98.451508,-16.500000
3,Yellow,7,126.859711,97.446709,-16.500000
3,Yellow,8,125.854912,97.949112,-13.500000
3,Yellow,9,126.357307,97.446709,-10.500000
4,Yellow,0,-33.783691,-159.376083,-1.500000
4,Yellow,1,-32.797192,-159.869293,-1.500000
4,Yellow,2,-32.303989,-157.896393,-1.500000
4,Yellow,3,-30.824289,-159.376083,-4.500000
4,Yellow,4,-30.330990,-157.403091,-4.500000
4,Yellow,5,-30.330990,-155.430191,-4.500000
4,Yellow,6,-30.824289,-156.909897,-7.500000
4,Yellow,7,-31.317490,-156.416687,-4.500000
4,Yellow,8,-28.851290,-155.430191,-1.500000
4,Yellow,9,-30.330990,-156.909897,-4.500000
5,Yellow,0,-116.979393,-119.262589,-4.500000
5,Yellow,1,-115.526192,-120.715790,-7.500000
5,Yellow,2,-112.619789,-118.293793,-4.500000
5,Yellow,3,-111.166588,-118.293793,-7.500000
5,Yellow,4,-110.682190,-117.324989,-7.500000
5,Yellow,5,-108.260193,-117.809387,-7.500000
5,Yellow,6,-110.197792,-116.840591,-13.500000
5,Yellow,7,-112.135391,-117.809387,-7.500000
5,Yellow,8,-109.713387,-117.324989,-4.500000
5,Yellow,9,-109.713387,-116.840591,-10.500000
6,Yellow,0,86.849808,-116.727692,1.500000
6,Yellow,1,85.898109,-116.251793,1.500000
6,Yellow,2,85.898109,-113.872391,1.500000
6,Yellow,3,85.898109,-117.203491,1.500000
6,Yellow,4,85.422211,-115.775887,1.500000
6,Yellow,5,84.470512,-115.299988,-1.500000
6,Yellow,6,84.470512,-113.872391,-1.500000
6,Yellow,7,84.946411,-113.872391,1.500000
6,Yellow,8,86.374008,-113.396492,1.500000
6,Yellow,9,86.849808,-113.396492,1.500000
7,Yellow,0,-104.982590,-62.372089,4.500000
7,Yellow,1,-101.709091,-64.242691,4.500000
7,Yellow,2,-100.306091,-62.372089,1.500000
