SERIES,COLOR,FRAME,X,Y,Z
1,Yellow,0,-36.735706,-23.243914,-246.000000
1,Yellow,1,-37.565907,-20.753115,-243.000000
1,Yellow,2,-44.208004,-18.262314,-246.000000
1,Yellow,3,-45.038303,-17.432014,-246.000000
1,Yellow,4,-43.377804,-20.753115,-246.000000
1,Yellow,5,-45.038303,-25.734715,-246.000000
1,Yellow,6,-43.377804,-25.734715,-243.000000
2,Green,0,-113.261703,229.401703,48.007771
2,Green,1,-113.264900,228.307632,47.751251
2,Green,2,-110.520973,230.655075,49.013134
2,Green,3,-109.382545,228.559998,47.279041
2,Green,4,-110.236839,229.451294,48.267139
2,Green,5,-111.797318,228.545639,42.639786
2,Green,6,-115.486565,232.086929,43.730675
3,Yellow,0,69.352692,33.139385,-222.000000
3,Yellow,1,68.662697,33.829384,-219.000000
3,Yellow,2,59.002094,37.279587,-216.000000
3,Yellow,3,59.002094,36.589584,-216.000000
3,Yellow,4,59.002094,33.829384,-216.000000
3,Yellow,5,59.692192,29.689186,-216.000000
3,Yellow,6,56.931992,36.589584,-213.000000
4,Green,1,-173.311447,136.442841,-31.652466
4,Green,2,-171.686584,139.378143,-30.493166
4,Green,3,-173.132996,140.270813,-33.906067
4,Green,4,-173.219955,140.514587,-34.296387
4,Green,5,-173.143280,137.595215,-36.199890
4,Green,6,-176.648926,140.683502,-34.211853
5,Yellow,0,26.395494,-26.147614,9.000000
5,Yellow,1,26.395494,-25.597815,9.000000
5,Yellow,2,26.945293,-27.247314,6.000000
5,Yellow,3,24.745996,-25.597815,6.000000
5,Yellow,4,25.845694,-26.147614,6.000000
5,Yellow,5,24.745996,-25.048014,6.000000
5,Yellow,6,24.196196,-18.999815,6.000000
6,Yellow,0,119.087601,33.546085,30.000000
6,Yellow,1,118.277496,33.546085,30.000000
6,Yellow,2,119.087601,37.596485,30.000000
6,Yellow,3,120.707809,35.976284,30.000000
6,Yellow,4,119.087601,32.735985,30.000000
6,Yellow,5,115.847206,33.546085,30.000000
6,Yellow,6,118.277496,36.786385,27.000000
7,Yellow,0,75.500198,-9.148914,-9.000000
7,Yellow,1,76.582596,-8.607715,-9.000000
7,Yellow,2,73.876694,-8.066614,-12.000000
7,Yellow,3,75.500198,-10.231315,-12.000000
7,Yellow,4,73.876694,-9.148914,-9.000000
7,Yellow,5,73.876694,-10.231315,-9.000000
7,Yellow,6,73.335495,-5.901814,-6.000000
9,Yellow,0,100.337791,125.221085,-6.000000
9,Yellow,1,98.741005,128.414780,-6.000000
9,Yellow,2,97.144096,127.350182,-9.000000
9,Yellow,3,97.144096,126.285683,-6.000000
9,Yellow,4,93.950493,126.817886,-6.000000
9,Yellow,5,96.611794,123.091988,-9.000000
9,Yellow,6,92.353592,130.011581,-9.000000
10,Yellow,0,-84.565506,59.390285,0.000000
10,Yellow,1,-84.041908,59.913887,0.000000
10,Yellow,2,-83.518303,59.913887,0.000000
10,Yellow,3,-83.518303,60.437580,0.000000
10,Yellow,4,-85.612808,62.532181,0.000000
10,Yellow,5,-85.089203,62.008484,0.000000
10,Yellow,6,-86.136505,65.150383,-3.000000
11,Yellow,0,-15.388205,122.656494,-3.000000
11,Yellow,1,-15.388205,125.086784,-3.000000
11,Yellow,2,-12.147803,126.706985,-3.000000
11,Yellow,3,-13.768005,125.896881,-3.000000
11,Yellow,4,-17.008404,123.466576,-3.000000
11,Yellow,5,-18.628605,124.276688,-6.000000
11,Yellow,6,-18.628605,127.517082,-6.000000
12,Yellow,0,38.054779,190.415527,-10.185532
12,Yellow,1,36.588974,191.408234,-10.016037
12,Yellow,2,35.576096,190.301788,-10.374756
12,Yellow,3,34.860710,190.580444,-10.149261
12,Yellow,4,34.893837,191.387772,-10.519165
12,Yellow,5,31.843842,189.528931,-13.232743
12,Yellow,6,30.952711,192.434875,-11.504837
13,Green,0,-73.239029,203.044174,53.365139
13,Green,1,-72.761261,203.834778,51.329601
13,Green,2,-68.840996,204.122833,47.878803
13,Green,3,-70.858200,203.669846,52.542633
13,Green,4,-70.570076,203.401382,51.722626
13,Green,5,-73.292503,202.495605,46.684875
13,Green,6,-76.592720,206.981003,45.912659
17,Green,0,-13.809691,189.397385,43.385681
17,Green,1,-13.364228,189.149353,43.647522
17,Green,2,-11.011139,188.245514,44.328552
17,Green,3,-13.592590,188.686646,44.427673
17,Green,4,-17.091370,187.083160,43.925720
17,Green,5,-15.997010,187.745667,42.075012
17,Green,6,-17.404724,191.624084,46.196289
18,Yellow,0,-86.628006,-75.540611,18.000000
18,Yellow,1,-84.416107,-75.540611,18.000000
18,Yellow,2,-80.729706,-74.803314,18.000000
18,Yellow,3,-82.204308,-75.540611,18.000000
18,Yellow,4,-81.467003,-72.591415,18.000000
18,Yellow,5,-82.941605,-71.854111,18.000000
18,Yellow,6,-83.678902,-63.743916,27.000000
19,Yellow,0,37.029099,229.415466,-6.875214
19,Yellow,1,35.884583,230.162720,-6.858398
19,Yellow,2,36.482956,229.620575,-6.097657
19,Yellow,3,34.784447,230.465500,-5.867081
19,Yellow,4,34.508743,230.264069,-5.317154
19,Yellow,5,30.661819,227.974045,-12.095139
19,Yellow,6,28.321022,230.682098,-12.990449
20,Yellow,0,162.361893,-136.194321,-228.000000
20,Yellow,1,163.714890,-139.576813,-228.000000
20,Yellow,2,154.243988,-134.841309,-228.000000
20,Yellow,3,155.597000,-134.841309,-228.000000
20,Yellow,4,154.243988,-135.517807,-228.000000
20,Yellow,5,158.302994,-142.959213,-228.000000
20,Yellow,6,156.949997,-138.900314,-222.000000
21,Yellow,0,-164.373810,-85.689011,39.000000
21,Yellow,1,-165.164108,-84.898811,39.000000
21,Yellow,2,-158.051605,-85.689011,39.000000
21,Yellow,3,-158.841904,-82.527916,39.000000
21,Yellow,4,-158.841904,-82.527916,39.000000
21,Yellow,5,-158.841904,-80.157120,39.000000
21,Yellow,6,-158.952194,-80.107819,38.946411
22,Yellow,0,-77.912109,179.853683,-75.000000
22,Yellow,1,-79.210701,179.853683,-75.000000
22,Yellow,2,-80.509201,180.502991,-75.000000
22,Yellow,3,-83.755707,181.801575,-75.000000
22,Yellow,5,-82.457108,176.607193,-75.000000
22,Yellow,6,-84.405014,179.204391,-75.000000
23,Yellow,0,-129.923828,220.587173,1.551636
23,Yellow,1,-129.240860,217.685364,-0.563477
23,Yellow,2,-126.094292,218.410370,-0.526672
23,Yellow,3,-127.634193,218.284821,0.963135
23,Yellow,4,-127.661339,218.899353,1.544159
23,Yellow,5,-129.796387,217.013184,-4.630981
23,Yellow,6,-132.814453,219.936996,-3.437714
24,Green,0,-104.162354,120.781403,47.894516
24,Green,1,-103.919228,119.742798,48.204025
24,Green,2,-100.256126,119.842285,49.020828
24,Green,3,-100.623695,119.858078,49.649979
24,Green,4,-102.041351,120.277657,50.757858
24,Green,5,-103.177010,120.227402,48.670868
24,Green,6,-105.168907,125.019417,46.378799
25,Yellow,0,-115.003860,217.773712,11.856995
25,Yellow,1,-114.808167,217.616745,11.905121
25,Yellow,2,-110.922638,218.083969,9.348938
25,Yellow,3,-112.261497,218.598419,10.328003
25,Yellow,4,-112.270599,218.265717,10.159821
25,Yellow,5,-114.274132,217.153244,5.734070
25,Yellow,6,-116.253693,219.434952,5.694244
26,Yellow,0,-59.726486,235.751572,3.501007
26,Yellow,1,-61.484375,234.956573,0.434998
26,Yellow,2,-58.719131,235.455887,-1.498383
26,Yellow,3,-60.987320,235.477676,2.381134
26,Yellow,4,-60.647919,235.319504,2.351807
26,Yellow,5,-64.370041,233.341309,-4.644653
26,Yellow,6,-65.703552,236.282806,-3.392731
27,Yellow,0,173.175415,234.397675,10.519928
27,Yellow,1,173.289368,235.295044,11.857239
27,Yellow,2,168.606110,233.560699,10.845184
27,Yellow,3,168.649185,233.321823,10.763779
27,Yellow,4,168.905533,233.323959,11.026962
27,Yellow,5,165.186813,229.849854,7.874970
27,Yellow,6,163.679947,232.360443,9.168152
28,Yellow,0,-14.930204,3.894085,27.000000
28,Yellow,1,-12.982305,1.296886,27.000000
28,Yellow,2,-12.333005,2.595486,27.000000
28,Yellow,3,-12.982305,0.647586,27.000000
28,Yellow,4,-11.683705,1.946186,27.000000
28,Yellow,5,-14.280905,5.192685,27.000000
28,Yellow,6,-18.176704,12.984285,27.000000
29,Green,0,-16.843201,176.526672,59.256775
29,Green,1,-17.673157,177.340546,58.033142
29,Green,2,-14.416260,176.770172,57.223450
29,Green,3,-16.054688,176.652039,60.430359
29,Green,4,-16.099548,176.892975,59.273197
29,Green,5,-17.803711,176.882843,56.835754
29,Green,6,-19.535583,179.426239,59.889896
30,Yellow,0,-122.841507,-79.462212,30.000000
30,Yellow,1,-119.022507,-82.008224,30.000000
30,Yellow,2,-111.384407,-78.825714,30.000000
30,Yellow,3,-113.294006,-82.644714,30.000000
30,Yellow,4,-117.113007,-77.552711,33.000000
30,Yellow,5,-112.657494,-78.825714,36.000000
30,Yellow,6,-112.657494,-72.460716,39.000000
31,Yellow,0,196.627792,115.676788,0.000000
31,Yellow,1,195.379395,114.428391,0.000000
31,Yellow,2,194.755188,113.179977,-3.000000
31,Yellow,3,193.506805,113.179977,0.000000
31,Yellow,4,189.761490,115.676788,6.000000
31,Yellow,5,191.009888,111.307381,0.000000
31,Yellow,6,189.761490,114.428391,6.000000
32,Yellow,0,-22.750824,202.514328,-244.835236
32,Yellow,1,-26.988005,201.532471,-246.879364
32,Yellow,2,-35.235291,202.782349,-249.556686
32,Yellow,3,-36.216309,202.849274,-244.038116
32,Yellow,4,-36.236267,202.684586,-244.641449
32,Yellow,5,-39.109268,196.479462,-250.804047
32,Yellow,6,-38.612000,196.150436,-250.948608
33,Yellow,0,61.904297,153.634186,15.000000
33,Yellow,1,62.505291,153.634186,15.000000
33,Yellow,2,60.702293,155.437088,12.000000
33,Yellow,3,61.303288,154.836090,15.000000
33,Yellow,4,59.500389,153.033188,12.000000
33,Yellow,5,59.500389,153.033188,12.000000
33,Yellow,6,55.894497,159.042984,12.000000
34,Yellow,0,-63.716499,141.482880,12.000000
34,Yellow,1,-58.406506,139.712891,12.000000
34,Yellow,2,-60.766502,143.252884,9.000000
34,Yellow,3,-61.356503,142.662888,9.000000
34,Yellow,4,-63.716499,143.252884,9.000000
34,Yellow,5,-63.126499,141.482880,9.000000
34,Yellow,6,-66.666504,146.792892,9.000000
35,Green,0,203.190613,61.146198,1.627319
35,Green,1,203.380081,61.253784,-0.091431
35,Green,2,202.284561,58.348755,-0.475525
35,Green,3,201.532410,59.392559,3.484741
35,Green,4,199.920517,57.849407,3.810486
35,Green,5,199.668320,57.392197,3.582031
35,Green,6,200.763855,61.600876,4.956909
37,Yellow,0,-55.537506,-115.917702,42.000000
37,Yellow,1,-53.223301,-114.374916,42.000000
37,Yellow,2,-50.137604,-115.917702,42.000000
37,Yellow,3,-50.137604,-114.374916,42.000000
37,Yellow,4,-48.594803,-113.603516,42.000000
37,Yellow,5,-49.366203,-112.832108,42.000000
37,Yellow,6,-49.366203,-102.803818,42.000000
38,Green,0,67.024414,-49.277195,-255.194824
38,Green,1,65.451172,-50.046722,-256.036072
38,Green,2,53.808411,-43.691864,-251.664871
38,Green,3,55.950203,-45.163361,-250.717590
38,Green,4,57.073193,-46.939541,-251.358582
38,Green,5,55.497036,-50.746643,-250.784027
38,Green,6,56.082642,-50.913696,-244.729935
39,Green,0,-70.639557,-78.471016,-203.282913
39,Green,1,-72.510895,-78.236847,-200.371643
39,Green,2,-76.936584,-73.257507,-194.029312
