SERIES,COLOR,FRAME,X,Y,Z
0,Yellow,0,-149.444794,93.062012,-267.000000
0,Yellow,1,-151.658890,95.829613,-261.000000
0,Yellow,2,-153.872894,99.704208,-261.000000
0,Yellow,3,-158.300995,101.364708,-255.000000
0,Yellow,4,-154.979889,98.043610,-249.000000
0,Yellow,5,-158.300995,90.848007,-255.000000
1,Yellow,0,-99.054993,42.342510,-255.000000
1,Yellow,1,-100.137589,41.801311,-255.000000
1,Yellow,2,-104.467987,46.131710,-255.000000
1,Yellow,3,-108.257088,48.838211,-249.000000
1,Yellow,4,-105.009293,45.590408,-243.000000
1,Yellow,5,-112.587486,38.553410,-246.000000
2,Yellow,0,-82.427094,79.532211,-195.000000
2,Yellow,1,-85.537689,79.532211,-201.000000
2,Yellow,2,-87.611389,83.161209,-201.000000
2,Yellow,3,-92.277290,84.198112,-195.000000
2,Yellow,4,-89.685089,81.605911,-192.000000
2,Yellow,5,-94.869392,77.976913,-189.000000
3,Yellow,0,-21.828091,36.302410,-198.000000
3,Yellow,1,-22.335791,34.271610,-201.000000
3,Yellow,2,-24.874390,39.348610,-204.000000
3,Yellow,3,-29.443689,41.887112,-201.000000
3,Yellow,4,-26.905190,37.317810,-198.000000
3,Yellow,5,-34.012989,33.256210,-186.000000
4,Yellow,0,-5.965890,181.851913,-198.000000
4,Yellow,1,-11.437389,183.841507,-204.000000
4,Yellow,2,-11.437389,189.810516,-207.000000
4,Yellow,3,-14.421890,191.800110,-207.000000
4,Yellow,4,-10.442590,187.820816,-201.000000
4,Yellow,5,-17.406290,182.349304,-192.000000
5,Yellow,0,71.182411,103.204910,-177.000000
5,Yellow,1,69.232208,104.179909,-183.000000
5,Yellow,2,66.794609,107.105110,-183.000000
5,Yellow,3,60.944309,107.592613,-183.000000
5,Yellow,4,64.357010,103.204910,-180.000000
5,Yellow,5,55.093910,101.254707,-162.000000
6,Yellow,0,-14.815889,16.627211,-168.000000
6,Yellow,1,-15.771990,14.237110,-171.000000
6,Yellow,2,-19.596189,16.627211,-171.000000
6,Yellow,3,-23.898489,18.539410,-171.000000
6,Yellow,4,-21.030291,15.671210,-171.000000
6,Yellow,5,-29.634890,11.368910,-162.000000
7,Yellow,0,92.439407,-115.611488,-168.000000
7,Yellow,1,91.885910,-120.039589,-174.000000
7,Yellow,2,86.350807,-116.718491,-171.000000
7,Yellow,3,79.708611,-112.843887,-165.000000
7,Yellow,4,81.922707,-117.271988,-162.000000
7,Yellow,5,78.048111,-124.467690,-150.000000
8,Yellow,0,-155.350296,-92.982689,-141.000000
8,Yellow,1,-154.267685,-94.065292,-141.000000
8,Yellow,2,-156.432892,-92.982689,-141.000000
8,Yellow,3,-159.139389,-90.276192,-135.000000
8,Yellow,4,-156.432892,-92.441391,-129.000000
8,Yellow,5,-160.221985,-95.147888,-126.000000
9,Yellow,0,171.599411,-192.613190,-138.000000
9,Yellow,1,171.069717,-195.790894,-138.000000
